상세영업상태명,지번주소,도로명주소,도로명우편번호,사업장명,업태구분명,좌표정보(X),좌표정보(Y)
영업,서울특별시 광진구 자양동 581-4 ,서울특별시 광진구 자양번영로 31 (자양동),5092,골드,단란주점,206577.288,447806.088
폐업,서울특별시 광진구 구의동 252-109번지 ,,,불야성,단란주점,207330.3474,448491.5017
폐업,서울특별시 광진구 중곡동 231-39번지 ,,,로얄,단란주점,207030.4556,451370.8195
폐업,서울특별시 광진구 화양동 115-7번지 ,,,만남소주방,단란주점,206244.3999,449468.6784
폐업,서울특별시 광진구 구의동 78-7번지 ,,,하여가,단란주점,207848.0747,449668.6988
영업,서울특별시 광진구 구의동 246-75 ,서울특별시 광진구 아차산로51길 4 (구의동),5044,두루한,단란주점,207482.6037,448345.6101
폐업,서울특별시 광진구 화양동 19-38번지 ,,,크리스탈,단란주점,206015.8566,449471.6014
폐업,서울특별시 광진구 중곡동 244-3번지 ,,,목로단란주점,단란주점,206994.4233,451181.8293
폐업,서울특별시 광진구 화양동 116-7번지 ,,,보스단란주점,단란주점,206217.6222,449481.2277
폐업,서울특별시 광진구 자양동 615-43번지 ,,,자유시인단란주점,단란주점,206847.0496,447818.63
폐업,서울특별시 광진구 자양동 608-19번지 ,,,스타영상가요반주단란,단란주점,206641.557,447859.977
영업,서울특별시 광진구 구의동 252-90 ,서울특별시 광진구 자양로 112 (구의동),5043,제이제이(JJ)노래주점,단란주점,207326.7236,448373.8358
폐업,서울특별시 광진구 구의동 246-16번지 ,,,가람단란주점,단란주점,207355.378,448341.8927
영업,서울특별시 광진구 자양동 624-30 ,"서울특별시 광진구 자양로13길 26, 지층 (자양동)",5057,궁전,단란주점,207234.6846,448107.573
폐업,서울특별시 광진구 군자동 91-7번지 ,,,오아시스,단란주점,206333.1761,450487.4483
폐업,서울특별시 광진구 화양동 18-32번지 ,,,황제단란주점,단란주점,206041.4888,449522.6242
폐업,서울특별시 광진구 중곡동 125-1번지 ,,,청록단란주점,단란주점,207610.9547,450813.1179
폐업,서울특별시 광진구 중곡동 245-1번지 ,,,비지니스킹카단란주점,단란주점,206952.8346,451192.7863
폐업,서울특별시 광진구 자양동 679-28번지 ,서울특별시 광진구 뚝섬로 680 (자양동),,태평양,단란주점,207450.4592,447746.3211
폐업,서울특별시 광진구 중곡동 341-7번지 ,,,무비스타단란주점,단란주점,207161.4559,450484.3861
폐업,서울특별시 광진구 자양동 779-11번지 ,,,보스비지니스단란주점,단란주점,207264.3764,448406.9758
폐업,서울특별시 광진구 자양동 607-14번지 ,,,만남단란주점,단란주점,206787.81,447805.8488
폐업,서울특별시 광진구 자양동 7-22번지 ,,,피플피플단란주점,단란주점,205952.3938,448664.2635
영업,서울특별시 광진구 구의동 243-22 ,서울특별시 광진구 아차산로 413 (구의동),5044,당근노래주점,단란주점,207749.1213,448413.8608
영업,서울특별시 광진구 자양동 45-34 ,서울특별시 광진구 뚝섬로 492 (자양동),5085,라이브(술있는 노래방),단란주점,205670.8189,448202.8825
폐업,서울특별시 광진구 구의동 199-6번지 ,,,코리아나단란주점,단란주점,208385.6149,448722.9525
폐업,서울특별시 광진구 화양동 111-72번지 ,,,청기와단란주점,단란주점,206508.8515,449413.7287
폐업,서울특별시 광진구 중곡동 78-1번지 ,,,카사,단란주점,207696.7007,450745.9991
폐업,서울특별시 광진구 중곡동 647-20번지 ,,,힐탑,단란주점,207025.7957,450766.8495
