상세영업상태명,지번주소,도로명주소,도로명우편번호,사업장명,좌표정보(X),좌표정보(Y),제공게임물명
직권말소,서울특별시 광진구 자양동 636-11번지 ,,,조비디오,206969.6253,447701.6798,
폐업,서울특별시 광진구 중곡동 150-83번지 ,서울특별시 광진구 용마산로 90  (중곡동),,모든비디오,207661.5236,451047.7415,
직권말소,서울특별시 광진구 화양동 23-42,서울특별시 광진구 광나루로12길 22 (화양동),,탈렌트비디오 (현장조사 2014-04-14 무단폐업),205886.3881,449392.2305,
직권말소,서울특별시 광진구 중곡동 102-11번지 ,서울특별시 광진구 영화사로3가길 25 (중곡동),,샘비디오,208205.4823,450575.652,
직권말소,서울특별시 광진구 중곡동 258-4번지 ,서울특별시 광진구 긴고랑로12길 60 (중곡동),,스타비디오,206956.2855,450892.9937,
폐업,서울특별시 광진구 구의동 257-41번지 ,서울특별시 광진구 아차산로51길 58  (구의동),,신우레코드,207446.5985,448590.6541,
직권말소,서울특별시 광진구 화양동 35-30번지 ,서울특별시 광진구 동일로24길 53-1 (화양동),,영화이야기,205949.8587,449002.0032,
직권말소,서울특별시 광진구 중곡동 98-1번지 ,서울특별시 광진구 영화사로 42 (중곡동),,뱅크비디오,207993.3288,450439.8293,
직권말소,서울특별시 광진구 군자동 64-9,서울특별시 광진구 군자로 138 (군자동),,희비디오 (2019. 4. 9. 현장조사 무단폐업),206527.4702,450189.6864,
폐업,서울특별시 광진구 구의동 70-20번지 ,서울특별시 광진구 자양로38길 9  (구의동),,용비디오,207760.8243,449450.4348,
직권말소,서울특별시 광진구 자양동 6-1번지 ,서울특별시 광진구 동일로20길 92 (자양동),,건대비디오,205980.41,448627.1701,
폐업,서울특별시 광진구 군자동 371-6번지 ,서울특별시 광진구 광나루로17길 20  (군자동),,화영비디오,206344.4463,449592.493,
직권말소,서울특별시 광진구 자양동 52-89번지 ,서울특별시 광진구 능동로3나길 25 (자양동),,영화나라,205679.358,448059.1542,
