상세영업상태명,지번주소,도로명주소,도로명우편번호,사업장명,좌표정보(X),좌표정보(Y),문화체육업종명
직권말소,서울특별시 광진구 자양동 1-2번지 (4층) ,"서울특별시 광진구 능동로 95  (자양동,(4층))",,Q 비디오감상실,206130.5819,448587.8325,비디오물감상실업
폐업,서울특별시 광진구 화양동 195-25번지 ,,,건국 비디오감상실,,,비디오물감상실업
폐업,서울특별시 광진구 화양동 132-64번지 ,서울특별시 광진구 능동로17길 55  (화양동),,진 비디오감상실,206151.0251,449389.3954,비디오물감상실업
폐업,서울특별시 광진구 화양동 18-2번지 ,서울특별시 광진구 광나루로 364  (화양동),,하나로 비디오감상실,206133.4202,449509.5844,비디오물감상실업
폐업,서울특별시 광진구 군자동 374-7번지 ,서울특별시 광진구 광나루로 389  (군자동),,화인 비디오감상실,206405.5307,449497.4218,비디오물감상실업
폐업,서울특별시 광진구 화양동 213-0번지 ,서울특별시 광진구 능동로19길 12  (화양동),,영화사랑,206387.9258,449434.2666,비디오물감상실업
직권말소,서울특별시 광진구 구의동 246-60번지 (2층) ,"서울특별시 광진구 아차산로51길 9  (구의동,(2층))",,킹비디오방,207459.113,448361.2857,비디오물감상실업
폐업,서울특별시 광진구 화양동 5-3번지 (4층) ,"서울특별시 광진구 능동로 125  (화양동,(4층))",,오리온존 비디오감상실,206231.6871,448883.5488,비디오물감상실업
직권말소,서울특별시 광진구 자양동 1-7번지 (3층) ,"서울특별시 광진구 아차산로 244 (자양동,(3층))",,깐느 비디오감상실 (현장조사 2014-02-25 무단폐업),206132.6812,448621.2345,비디오물감상실업
폐업,서울특별시 광진구 구의동 252-130번지 (3층) ,"서울특별시 광진구 아차산로51길 31  (구의동,(3층))",,25시 비디오감상실,207429.6707,448459.5368,비디오물감상실업
직권말소,"서울특별시 광진구 화양동 213번지 (2,3층) ","서울특별시 광진구 능동로19길 12  (화양동,(2,3층))",,자기주장 비디오감상실,206387.9258,449434.2666,비디오물감상실업
폐업,서울특별시 광진구 화양동 33-30번지 ,서울특별시 광진구 능동로13길 77  (화양동),,탑 비디오감상실,206011.2111,449197.8954,비디오물감상실업
폐업,서울특별시 광진구 구의동 243-13번지 (지층) ,"서울특별시 광진구 구의로 1  (구의동,(지층))",,썬 디브이디,207789.4604,448428.7542,비디오물감상실업
폐업,서울특별시 광진구 자양동 216-9번지 세화빌딩4층 ,"서울특별시 광진구 아차산로 380  (자양동,세화빌딩4층)",,월드비디오감상실,207444.549,448263.8953,비디오물감상실업
폐업,서울특별시 광진구 자양동 9-31번지 ,서울특별시 광진구 동일로20길 72  (자양동),,2002 비디오감상실,205887.5155,448665.5986,비디오물감상실업
폐업,서울특별시 광진구 화양동 47-71번지 ,서울특별시 광진구 아차산로29길 17  (화양동),,환상의 비디오감상실,205969.5811,448834.3593,비디오물감상실업
폐업,서울특별시 광진구 화양동 111-159번지 (3층) ,,,pan,206421.0588,449363.4927,비디오물감상실업
직권말소,서울특별시 광진구 화양동 2-44번지 (3층) ,"서울특별시 광진구 능동로 151  (화양동,(3층))",,스크린로드 비디오감상실,206327.8165,449123.2298,비디오물감상실업
영업중,서울특별시 광진구 화양동 8-24번지 (2층) ,"서울특별시 광진구 아차산로33길 15  (화양동,(2층))",,엔디비디,206122.1147,448756.3778,비디오물감상실업
폐업,서울특별시 광진구 화양동 6-2번지 ,서울특별시 광진구 아차산로 241  (화양동),,건우 비디오감상실,206131.3155,448712.3914,비디오물감상실업
폐업,서울특별시 광진구 화양동 8-100번지 (3층) ,"서울특별시 광진구 동일로22길 95  (화양동,(3층))",,시네마 비디오감상실,206068.0154,448761.6323,비디오물감상실업
폐업,서울특별시 광진구 화양동 5-74번지 ,서울특별시 광진구 아차산로33길 20  (화양동),,20세기폭스 비디오감상실,206145.6373,448766.8526,비디오물감상실업
폐업,서울특별시 광진구 구의동 53-4번지 (3층) ,"서울특별시 광진구 천호대로 665  (구의동,(3층))",,채플린 비디오감상실,207907.8843,449938.0147,비디오물감상실업
폐업,서울특별시 광진구 화양동 5-50번지 ,서울특별시 광진구 아차산로33길 24  (화양동),,와와비디오방,206155.207,448789.5289,비디오물감상실업
폐업,서울특별시 광진구 군자동 478-5번지 ,서울특별시 광진구 천호대로 548  (군자동),,한일비디오감상실,206896.6972,450515.5757,비디오물감상실업
폐업,서울특별시 광진구 화양동 5-61번지 (지층) ,"서울특별시 광진구 아차산로33길 26  (화양동,(지층))",,아름다운영화 비디오감상실,206158.6154,448798.5872,비디오물감상실업
직권말소,서울특별시 광진구 화양동 3-28번지 (3층) ,"서울특별시 광진구 능동로 137  (화양동,(3층))",,황소잠꼬대 비디오감상실,206275.9438,448987.0784,비디오물감상실업
폐업,서울특별시 광진구 군자동 373-8번지 ,서울특별시 광진구 광나루로17길 10  (군자동),,신세계 비디오감상실,206369.2124,449543.172,비디오물감상실업
폐업,서울특별시 광진구 구의동 246-63번지 3층 ,"서울특별시 광진구 아차산로 383  (구의동,3층)",,멀티비디오감상실,207470.705,448326.4973,비디오물감상실업
