상세영업상태명,지번주소,도로명주소,도로명우편번호,사업장명,업태구분명,좌표정보(X),좌표정보(Y)
영업,서울특별시 광진구 광장동 22-1,서울특별시 광진구 워커힐로 177 (광장동),4963,워커힐,관광호텔,209775.2678,450327.5771
폐업,서울특별시 광진구 화양동 115-8번지 ,서울특별시 광진구 능동로19길 44 (화양동),5009,대원장여관,여관업,206230.1376,449477.4717
폐업,서울특별시 광진구 화양동 111-129번지 ,,,뉴서울장여관,여관업,206409.2255,449399.1819
폐업,서울특별시 광진구 구의동 228-7 ,서울특별시 광진구 구의로16길 9 (구의동),5033,올인,여관업,207976.8294,449075.1811
폐업,서울특별시 광진구 자양동 236-64번지 ,서울특별시 광진구 뚝섬로 475-6 (자양동),5080,동궁여관,여관업,205519.1206,448299.291
폐업,서울특별시 광진구 중곡동 212-13번지 ,서울특별시 광진구 답십리로82길 38 (중곡동),4902,대림여관,여관업,207208.8502,451942.7259
폐업,서울특별시 광진구 화양동 17-55번지 ,,,수도장여관,여관업,206084.8193,449348.5226
폐업,서울특별시 광진구 중곡동 196-11번지 ,,,도원여관,여관업,207343.7737,451935.2515
영업,서울특별시 광진구 화양동 23-39번지 ,서울특별시 광진구 동일로 168 (화양동),5007,큐(Q),여관업,205850.7529,449421.5572
영업,서울특별시 광진구 화양동 41-3,서울특별시 광진구 동일로 148 (화양동),5014,그랜드모텔,여관업,205776.1131,449246.304
폐업,서울특별시 광진구 화양동 17-15번지 ,,,신진장여관,여관업,206105.6187,449434.1683
폐업,서울특별시 광진구 자양동 219-11번지 ,서울특별시 광진구 아차산로46가길 15 (자양동),5055,금수여관,여관업,207166.2895,448243.9715
폐업,서울특별시 광진구 구의동 202-12번지 ,서울특별시 광진구 구의로16길 45 (구의동),5033,세화장,여관업,208143.3392,448992.8226
영업,서울특별시 광진구 구의동 67-21번지 ,서울특별시 광진구 광나루로 517-5 (구의동),4976,황금모텔,여관업,207616.4393,449241.0284
영업,서울특별시 광진구 화양동 12-20번지 ,서울특별시 광진구 아차산로33길 67-4 (화양동),5011,신한모텔,여관업,206217.2426,449008.1554
영업,서울특별시 광진구 화양동 132-7 ,서울특별시 광진구 능동로19길 53 (화양동),5009,은하장여관,여관업,206179.1445,449459.0283
영업,서울특별시 광진구 화양동 132-64번지 ,서울특별시 광진구 능동로17길 55 (화양동),5010,호림장여관,여관업,206151.0251,449389.3954
폐업,서울특별시 광진구 군자동 361-10번지 ,,,월성장여관,여관업,,
폐업,서울특별시 광진구 군자동 346-34번지 ,서울특별시 광진구 군자로11길 3 (군자동),5002,대성여관,여관업,206184.7459,449821.076
폐업,서울특별시 광진구 자양동 202-9 ,서울특별시 광진구 동일로4길 2 (자양동),5081,영화여관,여관업,205329.6724,448223.5898
영업,서울특별시 광진구 중곡동 239-6번지 ,서울특별시 광진구 긴고랑로7길 7 (중곡동),4912,부림장여관,여관업,206919.4342,451288.6212
폐업,서울특별시 광진구 구의동 244-21번지 ,,,미림모텔,여인숙업,207852.5838,448462.9448
폐업,서울특별시 광진구 화양동 23-19번지 ,서울특별시 광진구 동일로 170-3 (화양동),,제논모텔,여관업,205876.6768,449450.5643
영업,"서울특별시 광진구 중곡동 125-7번지 2,3층 ","서울특별시 광진구 용마산로7길 6 (중곡동,2,3층)",4922,중곡여관,여관업,207645.7723,450760.6015
폐업,서울특별시 광진구 중곡동 648-14번지 ,서울특별시 광진구 능동로37길 6 (중곡동),4919,라보장여관,여관업,206961.6124,450659.2226
폐업,서울특별시 광진구 구의동 66-56번지 ,서울특별시 광진구 광나루로39길 6-8 (구의동),,양지여인숙,여인숙업,207832.8274,449213.5483
폐업,서울특별시 광진구 구의동 224-62번지 ,서울특별시 광진구 아차산로65길 91 (구의동),5036,충남여인숙,여인숙업,207922.2584,448941.2805
폐업,서울특별시 광진구 구의동 123-10번지 ,,,신선여관,여관업,207914.4099,449250.0181
폐업,서울특별시 광진구 광장동 188-2번지 ,서울특별시 광진구 아차산로78길 147 (광장동),4969,한강호텔,관광호텔,209602.114,449468.7096
폐업,서울특별시 광진구 중곡동 169-31번지 ,,,우리여관,여관업,207243.7645,451784.3517
폐업,서울특별시 광진구 화양동 18-23번지 ,서울특별시 광진구 동일로30길 45 (화양동),,럭키원룸텔,여관업,206096.1531,449483.5785
폐업,서울특별시 광진구 광장동 334-12 ,서울특별시 광진구 광장로 89 (광장동),4967,광장모텔,여관업,209375.0684,449558.0305
폐업,서울특별시 광진구 중곡동 192-25번지 ,,,동창여인숙,여인숙업,207072.1039,451463.6316
폐업,서울특별시 광진구 화양동 20-2번지 ,서울특별시 광진구 동일로30길 16 (화양동),5007,몰디브,여관업,205952.6366,449477.9145
영업,서울특별시 광진구 화양동 49-5번지 ,서울특별시 광진구 동일로22길 28 (화양동),5020,초원모텔,여관업,205747.6528,448872.2713
영업,서울특별시 광진구 자양동 10-6번지 ,서울특별시 광진구 아차산로26길 39 (자양동),5072,시마모텔,여관업,205725.1178,448588.1805
폐업,서울특별시 광진구 중곡동 230-3번지 ,,,천일여관,여관업,207108.8836,451388.559
영업,서울특별시 광진구 중곡동 240-2번지 ,서울특별시 광진구 면목로 109-1 (중곡동),4911,동서여관,여관업,206975.5157,451256.914
영업,서울특별시 광진구 중곡동 116-2,서울특별시 광진구 용마산로1길 11 (중곡동),4931,영빈여관,여관업,207674.7035,450278.0855
폐업,서울특별시 광진구 중곡동 172-17번지 ,서울특별시 광진구 능동로51길 44-7 (중곡동),4908,동명여인숙,여인숙업,207177.0464,451622.6596
폐업,서울특별시 광진구 중곡동 242-6번지 ,,,대성여인숙,여인숙업,207101.5306,451139.3611
폐업,서울특별시 광진구 화양동 23-18번지 ,,,신라장여관,여관업,205866.1097,449455.2947
폐업,서울특별시 광진구 군자동 477-13번지 ,,,그린장여관,여관업,,
영업,"서울특별시 광진구 군자동 464-7번지 ,8 ","서울특별시 광진구 동일로 296 (군자동,,8)",4994,모텔위드,여관업,206393.7951,450598.775
폐업,서울특별시 광진구 군자동 468-10번지 ,,,유성장여관,여관업,206640.0744,450592.0117
폐업,서울특별시 광진구 군자동 474-33번지 ,,,황실장,여관업,206783.3222,450444.3496
폐업,서울특별시 광진구 자양동 16-32번지 ,,,금강장여관,여관업,205572.3477,448649.2517
영업,서울특별시 광진구 군자동 471-16번지 ,서울특별시 광진구 능동로35길 37 (군자동),4996,투모텔,여관업,206732.3506,450545.4042
폐업,서울특별시 광진구 군자동 478-3번지 ,,,동궁여관,여관업,206861.4454,450515.1973
폐업,서울특별시 광진구 중곡동 146-14번지 ,,,신흥여인숙,여인숙업,,
폐업,서울특별시 광진구 화양동 12-58번지 ,,,화성여관,여관업,206180.1475,449150.9718
폐업,"서울특별시 광진구 화양동 110-17번지 2,3층 ","서울특별시 광진구 능동로19길 54, 2.3층 (화양동)",5009,삼희장여관,여관업,206194.4907,449473.6391
폐업,서울특별시 광진구 화양동 19-36번지 ,,,삼정장여관,여관업,206016.919,449440.8037
폐업,서울특별시 광진구 구의동 246-19번지 ,,,수복장,여관업,207349.4133,448291.2473
폐업,서울특별시 광진구 구의동 235-32번지 ,서울특별시 광진구 자양로 188 (구의동),5031,마리모텔,여관업,207469.0073,449117.4989
폐업,서울특별시 광진구 화양동 17-67번지 ,,,낙원장모텔,여관업,206033.2951,449358.5594
폐업,서울특별시 광진구 군자동 474-39번지 ,,,신흥여인숙,여인숙업,206806.8524,450473.8518
폐업,서울특별시 광진구 화양동 19-8번지 ,서울특별시 광진구 광나루로14길 21 (화양동),5008,그리고모텔,여관업,206000.0505,449435.9757
영업,서울특별시 광진구 화양동 20-28번지 ,서울특별시 광진구 동일로28길 23 (화양동),5007,리베라,여관업,205947.0767,449370.8901
폐업,서울특별시 광진구 화양동 20-29,서울특별시 광진구 동일로30길 20 (화양동),5007,더블유모텔,여관업,205961.765,449472.1818
폐업,서울특별시 광진구 화양동 17-42번지 ,,,신화여관,여관업,206048.7497,449394.3096
폐업,서울특별시 광진구 화양동 23-9번지 ,서울특별시 광진구 동일로 172-7 (화양동),5007,진흥장여관,여관업,205896.0672,449468.7156
폐업,서울특별시 광진구 화양동 33-22번지 ,서울특별시 광진구 동일로26길 43-7 (화양동),5015,복부여인숙,여인숙업,205979.446,449210.9205
폐업,서울특별시 광진구 화양동 20-45번지 ,서울특별시 광진구 광나루로14길 24 (화양동),,보보스모텔,여관업,205973.01,449430.9704
폐업,서울특별시 광진구 자양동 779-10번지 ,,,미림장,여관업,,
영업,서울특별시 광진구 중곡동 117-7,서울특별시 광진구 용마산로 17-1 (중곡동),4931,이화장여관,여관업,207708.5475,450339.0742
폐업,서울특별시 광진구 화양동 18-12 ,서울특별시 광진구 동일로30길 31 (화양동),5008,구구,여관업,206035.4116,449492.6892
폐업,서울특별시 광진구 화양동 19-39번지 ,,,서울장여관,여관업,206009.6471,449459.411
영업,서울특별시 광진구 화양동 23-25,"서울특별시 광진구 동일로 170-10, 1,2층 (화양동)",5007,루나 하우스(Luna House),여관업,205891.1526,449429.7605
폐업,서울특별시 광진구 화양동 121-9 ,서울특별시 광진구 능동로19길 49 (화양동),,두바이모텔,여관업,206198.4716,449452.1814
폐업,서울특별시 광진구 화양동 23-8번지 ,서울특별시 광진구 동일로 172-3 (화양동),5007,초림장모텔,여관업,205886.0394,449472.0148
폐업,서울특별시 광진구 자양동 584-13번지 ,서울특별시 광진구 자양번영로 11 (자양동),5093,황토방여관,여관업,206533.0495,447609.766
영업,서울특별시 광진구 구의동 246-40,서울특별시 광진구 아차산로 389 (구의동),5044,폼 모텔,여관업,207528.016,448344.155
영업,서울특별시 광진구 구의동 59-14,서울특별시 광진구 천호대로138길 4 (구의동),4980,월 호텔(아차산역),여관업,208153.0131,449591.1738
폐업,서울특별시 광진구 구의동 244-19번지 ,서울특별시 광진구 아차산로 421 (구의동),5045,미성여관,여관업,207840.4272,448448.4874
폐업,서울특별시 광진구 자양동 236-103번지 ,서울특별시 광진구 동일로 54 (자양동),5080,쉘,여관업,205391.3824,448379.4805
영업,서울특별시 광진구 자양동 203-5,서울특별시 광진구 동일로 36 (자양동),5081,영동장여관,여관업,205321.2847,448212.7421
폐업,서울특별시 광진구 중곡동 150-175번지 ,,,청운장여관,여관업,207467.0227,450959.3331
폐업,서울특별시 광진구 중곡동 78-14번지 ,,,영빈장여관,여관업,207751.5285,450716.688
폐업,서울특별시 광진구 군자동 471-1번지 ,,,대호장여관,여관업,206715.164,450559.9479
폐업,서울특별시 광진구 중곡동 190-37번지 ,,,부강장,여관업,206815.9468,451550.425
폐업,서울특별시 광진구 중곡동 240-16번지 ,서울특별시 광진구 동일로70길 52 (중곡동),4911,부화여인숙,여인숙업,206962.3488,451290.2578
영업,서울특별시 광진구 구의동 246-13,서울특별시 광진구 아차산로 377 (구의동),5044,뮤즈모텔,여관업,207418.4817,448333.1576
폐업,서울특별시 광진구 화양동 21-46번지 ,,,씨티모텔,여관업,205938.8574,449517.7071
영업,서울특별시 광진구 화양동 23-33번지 ,서울특별시 광진구 광나루로12길 16 (화양동),5007,힐모텔,여관업,205897.0214,449416.2606
영업,서울특별시 광진구 화양동 20-31 ,서울특별시 광진구 광나루로14길 18 (화양동),5007,엠모텔,여관업,205987.1032,449462.5234
폐업,서울특별시 광진구 화양동 23-37번지 ,서울특별시 광진구 동일로 168-8 (화양동),5007,이화장,여관업,205871.4085,449412.1371
폐업,서울특별시 광진구 자양동 580-5번지 ,서울특별시 광진구 자양번영로 45 (자양동),5068,궁전장여관,여관업,206613.3537,447944.0093
폐업,서울특별시 광진구 자양동 631-18번지 ,,,신진여관,여관업,207141.6959,447952.9664
폐업,서울특별시 광진구 구의동 212-17 ,서울특별시 광진구 아차산로 459 (구의동),5035,로데오모텔,여관업,208158.85,448619.5409
폐업,서울특별시 광진구 구의동 212-2번지 ,,,청아장여관,여관업,208261.7488,448701.6585
폐업,"서울특별시 광진구 구의동 59-4번지 ,5 ",,,하얀집여관,여관업,,
폐업,서울특별시 광진구 구의동 73-7번지 ,서울특별시 광진구 천호대로 696 (구의동),4975,백송,여관업,208013.077,449670.8586
영업,서울특별시 광진구 중곡동 150-206번지 ,서울특별시 광진구 긴고랑로 90 (중곡동),4922,서울장여관,여관업,207476.4182,450901.5069
폐업,서울특별시 광진구 중곡동 39-51번지 ,서울특별시 광진구 긴고랑로 63 (중곡동),4937,백운장여관,여관업,207295.5809,451079.009
영업,서울특별시 광진구 중곡동 647-15번지 ,서울특별시 광진구 능동로 323 (중곡동),4918,휘모텔,여관업,206995.0401,450699.0207
폐업,서울특별시 광진구 화양동 110-3번지 ,,,명궁장여관,여관업,,
폐업,서울특별시 광진구 자양동 24-6번지 ,서울특별시 광진구 동일로 90 (자양동),5071,정모텔,여관업,205540.0826,448702.3068
폐업,서울특별시 광진구 군자동 478-1,서울특별시 광진구 천호대로 546 (군자동),4997,큐,여관업,206880.2162,450544.7584
영업,서울특별시 광진구 구의동 246-45번지 ,서울특별시 광진구 아차산로 385 (구의동),5044,골드모텔,여관업,207491.7705,448332.1229
영업,서울특별시 광진구 구의동 69-32,서울특별시 광진구 자양로 226 (구의동),4976,유토피아,여관업,207675.5732,449402.5508
영업,서울특별시 광진구 중곡동 117-6,서울특별시 광진구 용마산로 19 (중곡동),4931,헤나모텔,여관업,207706.3332,450355.3445
영업,"서울특별시 광진구 화양동 23-21 ,22 ","서울특별시 광진구 광나루로12길 12 (화양동,,22)",5007,프린스모텔,여관업,205901.5595,449439.3997
폐업,서울특별시 광진구 화양동 19-12번지 ,서울특별시 광진구 광나루로14길 35 (화양동),5008,올인,여관업,205969.5857,449368.9398
폐업,서울특별시 광진구 화양동 18-32,서울특별시 광진구 광나루로 354 (화양동),5008,제일장여관,여관업,206041.4888,449522.6242
폐업,서울특별시 광진구 화양동 111-105번지 한일장 ,"서울특별시 광진구 광나루로 386-6, 한일장 (화양동)",5009,한일장여관,여관업,206331.3271,449456.7871
폐업,서울특별시 광진구 화양동 20-16 ,서울특별시 광진구 광나루로12길 13 (화양동),5007,싼타페모텔,여관업,205921.861,449427.4792
폐업,서울특별시 광진구 화양동 20-9번지 ,서울특별시 광진구 광나루로12길 7-4 (화양동),5007,에스모텔,여관업,205941.3851,449431.4586
영업,서울특별시 광진구 화양동 17-10,서울특별시 광진구 동일로30길 42 (화양동),5008,프리마모텔,여관업,206086.3741,449463.5471
