상세영업상태명,지번주소,도로명주소,도로명우편번호,사업장명,업태구분명,좌표정보(X),좌표정보(Y)
영업,서울특별시 광진구 화양동 192번지 ,서울특별시 광진구 광나루로 384 (화양동),,한영술마시는노래방,비어(바)살롱,206328.873,449477.8737
폐업,서울특별시 광진구 중곡동 157-23 ,서울특별시 광진구 천호대로 555 (중곡동),4929,팔도강산,스텐드바,207009.6887,450562.935
영업,서울특별시 광진구 화양동 23-39 ,서울특별시 광진구 동일로 168 (화양동),5007,카라노래바,룸살롱,205850.7529,449421.5572
폐업,서울특별시 광진구 화양동 132-75번지 ,,,앵콜술마시는노래방,스텐드바,206164.1741,449443.6163
폐업,서울특별시 광진구 화양동 20-25번지 ,서울특별시 광진구 광나루로12길 19 (화양동),5007,해피,카바레,205905.7484,449388.0042
폐업,서울특별시 광진구 능동 91-4번지 ,,,거북,룸살롱,,
폐업,"서울특별시 광진구 화양동 23-28 , 29 ","서울특별시 광진구 동일로 170 (화양동,, 29)",5007,바나나클럽,룸살롱,205860.7175,449443.4169
영업,서울특별시 광진구 구의동 228-1,서울특별시 광진구 구의로 72 (구의동),5033,술마시는뮤직노래방,룸살롱,207948.083,449133.2043
영업,서울특별시 광진구 군자동 355-14번지 ,서울특별시 광진구 광나루로 347 (군자동),5003,쎄시,룸살롱,205997.2385,449576.6581
영업,서울특별시 광진구 군자동 359 ,서울특별시 광진구 군자로 69 (군자동),5003,파라곤노래바,룸살롱,206167.329,449683.1373
영업,서울특별시 광진구 군자동 355-10번지 ,서울특별시 광진구 광나루로 341 (군자동),5003,비타민,룸살롱,205932.9775,449586.5194
폐업,서울특별시 광진구 광장동 21-0번지 ,,,댄스바제스티,관광호텔나이트(디스코),209766.9736,450385.0007
폐업,서울특별시 광진구 광장동 20-0번지 ,,,가야금홀,극장식당,209774.8371,450375.5609
폐업,서울특별시 광진구 자양동 680-0,서울특별시 광진구 자양로 94 (자양동),5051,유정,룸살롱,207361.4675,448213.0798
영업,서울특별시 광진구 구의동 253-13번지 ,서울특별시 광진구 자양로 187 (구의동),5024,가시나무새,스텐드바,207417.4866,449130.8658
영업,서울특별시 광진구 화양동 23-40,서울특별시 광진구 동일로 166 (화양동),5007,W(더블유),카바레,205855.6394,449404.7443
영업,"서울특별시 광진구 화양동 24-1번지 , 7 ","서울특별시 광진구 동일로 164 (화양동,, 7)",5013,슈퍼모델,룸살롱,205839.7492,449386.2061
폐업,"서울특별시 광진구 광장동 188-2번지 1,2층 ",서울특별시 광진구 아차산로78길 147 (광장동),4969,한강관광호텔나이트클럽,관광호텔나이트(디스코),209602.114,449468.7096
영업,서울특별시 광진구 구의동 66-62번지 ,서울특별시 광진구 광나루로 529 (구의동),4977,쉬리,스텐드바,207748.7365,449212.1872
영업,서울특별시 광진구 구의동 252-44,서울특별시 광진구 자양로 112 (구의동),5043,뮤즈노래바,룸살롱,207324.9536,448395.0675
폐업,서울특별시 광진구 군자동 355-12 ,서울특별시 광진구 광나루로 345 (군자동),5003,하트,룸살롱,205969.4352,449587.7384
폐업,서울특별시 광진구 화양동 21-4번지 ,,,부산항,룸살롱,205972.3047,449529.7009
폐업,서울특별시 광진구 화양동 116-16번지 ,,,퓨전,카바레,206188.5077,449504.1028
영업,서울특별시 광진구 군자동 355-11,서울특별시 광진구 광나루로 343 (군자동),5003,초콜렛,룸살롱,205951.717,449589.58
폐업,서울특별시 광진구 구의동 595-0번지 ,,,뜨락토마토,룸살롱,208051.8847,447994.8056
폐업,서울특별시 광진구 구의동 595-0,서울특별시 광진구 구의강변로 38 (구의동),5116,엘레강스,비어(바)살롱,208051.8847,447994.8056
