상세영업상태명,지번주소,도로명주소,도로명우편번호,사업장명,좌표정보(X),좌표정보(Y)
폐업,서울특별시 광진구 능동 259-1번지 ,서울특별시 광진구 능동로 216  (능동),,과학,207353.4033,449912.8222
폐업,서울특별시 광진구 구의동 222-30번지 ,서울특별시 광진구 구의로 27  (구의동),,구의,207838.6449,448687.9836
폐업,서울특별시 광진구 능동 222-5번지 ,서울특별시 광진구 천호대로112길 10  (능동),,최신,207115.8839,450394.1869
폐업,서울특별시 광진구 군자동 49-21번지 ,,,탁이네,,
폐업,서울특별시 광진구 중곡동 173-1번지 ,서울특별시 광진구 면목로 165  (중곡동),,은하,207195.4917,451745.0201
폐업,서울특별시 광진구 자양동 12-10번지 ,서울특별시 광진구 동일로12길 28  (자양동),,중앙게임랜드,205554.744,448617.6982
폐업,서울특별시 광진구 자양동 665-19번지 ,서울특별시 광진구 자양로3길 70  (자양동),,강변게임장,207253.3991,447477.1049
폐업,서울특별시 광진구 화양동 5-46번지 ,서울특별시 광진구 능동로 115  (화양동),,대원,206209.0538,448792.1369
폐업,서울특별시 광진구 군자동 213번지 ,서울특별시 광진구 능동로 195-2  (군자동),,세종,206500.2024,449534.3477
폐업,서울특별시 광진구 화양동 111-72번지 ,서울특별시 광진구 광나루로 404  (화양동),,공원,206508.8515,449413.7287
폐업,서울특별시 광진구 군자동 472-1번지 ,서울특별시 광진구 면목로 38  (군자동),,빛나,206715.2647,450582.9511
폐업,서울특별시 광진구 화양동 47-2번지 ,서울특별시 광진구 동일로24길 70  (화양동),,대우,206008.7245,448954.2483
허가취소,서울특별시 광진구 자양동 42-4번지 ,서울특별시 광진구 뚝섬로23길 9  (자양동),,지하,205580.1524,448306.8453
폐업,서울특별시 광진구 자양동 202-5번지 ,서울특별시 광진구 동일로4길 10  (자양동),,보광경품게임장,205366.1189,448223.9394
폐업,서울특별시 광진구 화양동 20-25번지 ,서울특별시 광진구 광나루로12길 19  (화양동),,신안오락실,205905.7484,449388.0042
폐업,서울특별시 광진구 구의동 57-48번지 ,서울특별시 광진구 자양로 282  (구의동),,명랑,208025.9027,449839.9496
폐업,서울특별시 광진구 자양동 608-19번지 ,서울특별시 광진구 뚝섬로 596  (자양동),,스타워즈,206641.557,447859.977
허가취소,서울특별시 광진구 중곡동 80-10번지 ,서울특별시 광진구 용마산로 38  (중곡동),,중곡,207736.0666,450524.0899
