"동별(1)","동별(2)",항목,2023 4/4,2023 4/4
"동별(1)","동별(2)",항목,0~4세,5~9세
"종로구","소계",한국인,2342,3577
"종로구","사직동",한국인,174,288
"종로구","삼청동",한국인,28,58
"종로구","부암동",한국인,118,263
"종로구","평창동",한국인,397,599
"종로구","무악동",한국인,193,353
"종로구","교남동",한국인,328,413
"종로구","가회동",한국인,58,90
"종로구","종로1.2.3.4가동",한국인,83,87
"종로구","종로5.6가동",한국인,53,103
"종로구","이화동",한국인,75,96
"종로구","창신1동",한국인,49,58
"종로구","창신2동",한국인,62,95
"종로구","창신3동",한국인,138,156
"종로구","숭인1동",한국인,74,128
"종로구","숭인2동",한국인,95,99
"종로구","청운효자동",한국인,227,369
"종로구","혜화동",한국인,190,322
"중구","소계",한국인,2687,2943
"중구","소공동",한국인,58,89
"중구","회현동",한국인,85,78
"중구","명동",한국인,25,34
"중구","필동",한국인,56,83
"중구","장충동",한국인,52,82
"중구","광희동",한국인,62,62
"중구","을지로동",한국인,93,45
"중구","신당5동",한국인,222,224
"중구","황학동",한국인,334,316
"중구","중림동",한국인,475,459
"중구","신당동",한국인,102,128
"중구","다산동",한국인,208,227
"중구","약수동",한국인,386,454
"중구","청구동",한국인,294,326
"중구","동화동",한국인,235,336
"용산구","소계",한국인,5068,6021
"용산구","후암동",한국인,294,398
"용산구","용산2가동",한국인,109,146
"용산구","남영동",한국인,46,80
"용산구","원효로2동",한국인,322,408
"용산구","효창동",한국인,335,416
"용산구","용문동",한국인,313,310
"용산구","이촌1동",한국인,806,1364
"용산구","이촌2동",한국인,247,178
"용산구","이태원1동",한국인,98,107
"용산구","이태원2동",한국인,146,197
"용산구","서빙고동",한국인,281,377
"용산구","보광동",한국인,126,137
"용산구","청파동",한국인,217,279
"용산구","원효로1동",한국인,535,559
"용산구","한강로동",한국인,706,525
"용산구","한남동",한국인,487,540
"성동구","소계",한국인,7856,9037
"성동구","왕십리2동",한국인,530,523
"성동구","마장동",한국인,452,515
"성동구","사근동",한국인,140,185
"성동구","행당1동",한국인,382,466
"성동구","행당2동",한국인,709,850
"성동구","응봉동",한국인,397,580
"성동구","금호1가동",한국인,490,581
"성동구","금호4가동",한국인,561,624
"성동구","성수1가1동",한국인,396,420
"성동구","성수1가2동",한국인,289,311
"성동구","성수2가1동",한국인,282,299
"성동구","성수2가3동",한국인,212,239
"성동구","송정동",한국인,157,214
"성동구","용답동",한국인,120,161
"성동구","왕십리도선동",한국인,883,1094
"성동구","금호2.3가동",한국인,774,766
"성동구","옥수동",한국인,1082,1209
"광진구","소계",한국인,6290,8918
"광진구","화양동",한국인,128,156
"광진구","군자동",한국인,269,376
"광진구","중곡1동",한국인,294,271
"광진구","중곡2동",한국인,320,510
"광진구","중곡3동",한국인,292,313
"광진구","중곡4동",한국인,462,553
"광진구","능동",한국인,218,214
"광진구","구의1동",한국인,387,472
"광진구","구의2동",한국인,527,781
"광진구","구의3동",한국인,660,914
"광진구","광장동",한국인,654,1761
"광진구","자양1동",한국인,303,420
"광진구","자양2동",한국인,543,666
"광진구","자양3동",한국인,842,1116
"광진구","자양4동",한국인,391,395
"동대문구","소계",한국인,7940,10362
"동대문구","회기동",한국인,109,202
"동대문구","휘경1동",한국인,294,368
"동대문구","휘경2동",한국인,365,570
"동대문구","청량리동",한국인,264,354
"동대문구","용신동",한국인,940,1045
"동대문구","제기동",한국인,363,433
"동대문구","전농1동",한국인,824,1152
"동대문구","전농2동",한국인,396,587
