어린이집명,어린이집유형,시설 위도(좌표값),시설 경도(좌표값)
사직어린이집,국공립,37.57809877,126.9686864
삼청어린이집,국공립,37.58400574,126.9804875
엔젤키즈어린이집,국공립,37.59853986,126.9605022
부암어린이집,국공립,37.60152236,126.9630733
종로생명숲어린이집,국공립,37.6064673304568,126.968176577917
맑은숲어린이집,국공립,37.5450381635,127.0032951499
한남어린이집,국공립,37.53453304,127.0004722
구립 왕십리하나어린이집,국공립,37.5608549372603,127.03203886341
구립 스위첸숲속어린이집,국공립,37.5606043973,127.0268737341
구립 왕십리자이어린이집,국공립,37.5606697161455,127.024831967744
구립 금호키움어린이집,국공립,37.5612316976099,127.025950393455
구립 풍림아름다운어린이집,국공립,37.55891341,127.025261
구립 무학어린이집,국공립,37.56132356,127.025791
구립 별하어린이집,국공립,37.5682112942042,127.042854743032
구립 마장현대어린이집,국공립,37.5702622686283,127.041995630327
성동종합사회복지관 부설 방과후 어린이집,국공립,37.57046833,127.0338088
구립 성모어린이집,국공립,37.57046833,127.0338088
구립 마장어린이집,국공립,37.56642292,127.0454704
구립 서마어린이집,국공립,37.57169914,127.0368947
늘푸른어린이집,국공립,37.5528170627,126.9630705681
중림어린이집,국공립,37.55562297,126.9677162
만리어린이집,국공립,37.5530803784,126.9637947247
구립 맑은샘어린이집,국공립,37.5465907739,127.0133800346
구립 옥수파크어린이집,국공립,37.5485350516836,127.014049174906
구립 옥수힐스어린이집,국공립,37.5472936889,127.0121218096
구립 매봉도담어린이집,국공립,37.5492109193114,127.013013851816
구립 극동그린어린이집,국공립,37.5416176076759,127.009812580579
구립 독서당어린이집,국공립,37.5465005447959,127.014475405636
구립 래미안리버젠어린이집,국공립,37.5451920224386,127.016543678168
옥수종합사회복지관 부설 좋은벗방과후교실어린이집,국공립,37.54043785,127.012716
구립 연꽃어린이집,국공립,37.54043785,127.012716
구립 금옥어린이집,국공립,37.54955905,127.0127112
충무어린이집,국공립,37.56024397,127.0017202
중구청직장어린이집,국공립,37.5638483739249,127.001200163208
구립 서울숲더샵어린이집,국공립,37.5570759698665,127.04002802388
구립 사근다솜어린이집,국공립,37.56105772,127.0455332
미래어린이집,국공립,37.5490366523856,126.978308788708
후암어린이집,국공립,37.54765193,126.9758361
소월어린이집,국공립,37.54613603,126.9858175
해방어린이집,국공립,37.54428402,126.9851444
새꿈어린이집,국공립,37.55238518,126.9733573
새순어린이집,국공립,37.5348941342334,126.955191410616
샘물어린이집,국공립,37.5342102717727,126.954594151122
원효어린이집,국공립,37.53480088,126.9566433
용산캐슬어린이집,국공립,37.5398174501512,126.963073585923
푸른꿈어린이집,국공립,37.5402393423765,126.958332377708
백송어린이집,국공립,37.54354693,126.9633574
도원어린이집,국공립,37.53825626,126.9585708
구립 이편한세상금호어린이집,국공립,37.5553227446624,127.022606340657
구립 벽산어린이집,국공립,37.5553933612572,127.025373448555
구립 금일어린이집,국공립,37.55368497,127.0248605
구립 대현어린이집,국공립,37.55486873,127.0216773
구립 금봉어린이집,국공립,37.55361447,127.0277837
구립 힐스테이트서울숲리버어린이집,국공립,37.5467040992,127.0255334536
구립 서울숲어린이집,국공립,37.5462359400747,127.023808744265
구립 금사어린이집,국공립,37.54715933,127.022319
구립 트리마제어린이집,국공립,37.5392561544,127.0446711778
구립 빛초롱어린이집,국공립,37.54034501,127.0450335
구립 성원어린이집,국공립,37.54188615,127.0496567
구립 진터마루어린이집,국공립,37.53871802,127.0474124
구립 성이어린이집,국공립,37.536458651726,127.055092393669
구립 성덕어린이집,국공립,37.53715143,127.0530548
구립 송정햇살어린이집,국공립,37.550148537903,127.065481992473
구립 송화어린이집,국공립,37.55493618,127.0692508
구립 단비어린이집,국공립,37.56476418,127.0517421
구립 용답어린이집,국공립,37.5616001,127.0563991
엔젤어린이집,국공립,37.6144973934069,127.007520649311
파아란어린이집,국공립,37.6154815317461,127.01008901605
한사랑어린이집,국공립,37.6169480419495,127.008123473955
원정어린이집,국공립,37.6165625684928,127.00554096897
성북생명숲어린이집,국공립,37.6160325601005,127.009183535874
솔샘어린이집,국공립,37.61376773,127.0110893
해피래미안어린이집,국공립,37.6103444981247,127.020774072063
대림어린이집,국공립,37.6128204645335,127.017713902647
길음성가어린이집,국공립,37.6026964149301,127.02095030587
길음빛어린이집,국공립,37.61046755,127.0194396
웅지어린이집,국공립,37.60222342,127.0212149
한빛어린이집,국공립,37.5910307,127.0032273
성북어린이집,국공립,37.5896129215434,127.005846772429
삼선예일어린이집,국공립,37.5834127433199,127.012861301243
삼선뜰어린이집,국공립,37.58638773,127.013638
삼선어린이집,국공립,37.58176947,127.0091736
다윗어린이집,국공립,37.59001714,127.0177491
동선어린이집,국공립,37.59536304,127.0151615
휘경SK뷰어린이집,국공립,37.5935220071109,127.066251450454
휘경스마일어린이집,국공립,37.5914866136046,127.057777935217
휘경어린이집,국공립,37.5913124,127.0613223
한빛어린이집,국공립,37.5984856725055,127.056991526737
아이랑어린이집,국공립,37.5960665134599,127.067652156482
신나는어린이집,국공립,37.59644915,127.0646052
보림어린이집,국공립,37.59768416,127.0654764
이편한오렌지어린이집,국공립,37.6045865924005,127.065502502203
이문현대어린이집,국공립,37.6005294701283,127.07014185037
대림 어린이집,국공립,37.6033610068849,127.065931761951
예일어린이집,국공립,37.60448057,127.0650075
예송어린이집,국공립,37.6009253896593,127.064738304641
이문어린이집,국공립,37.60358084,127.0630131
태양하나어린이집,국공립,37.57399227,127.045324
미드카운티어린이집,국공립,37.5745164349207,127.055842648231
청아어린이집,국공립,37.5717249647812,127.046963012846
호수어린이집,국공립,37.5728565778,127.0524024024
꿈동이어린이집,국공립,37.5728565778,127.0524024024
초롱하나어린이집,국공립,37.57399227,127.045324
동대문어린이집,국공립,37.5711920739042,127.051183234652
예슬어린이집,국공립,37.6013571562,127.0928002543
아름뜰어린이집,국공립,37.6027060794,127.0914656404
봉화어린이집,국공립,37.60528359,127.0910993
상봉어린이집,국공립,37.60199993,127.0901279
아이누리어린이집,국공립,37.597007915,127.0820691159
하늘빛어린이집,국공립,37.6022372355317,127.082111098162
혜성어린이집,국공립,37.60371261,127.0824217
새우개 하나어린이집,국공립,37.6188589612848,127.102486145339
우남어린이집,국공립,37.606004093823,127.098534488668
다솜어린이집,국공립,37.601923138,127.0970815687
유린어린이집,국공립,37.6044720906,127.0959161664
새한어린이집,국공립,37.6049325667,127.1012258353
아미어린이집,국공립,37.6040136039,127.0968759111
예쁜별어린이집,국공립,37.6097984319,127.0962944847
햇살아래 보듬이나눔이 어린이집,국공립,37.6147428453,127.1128055612
하람어린이집,국공립,37.6168103510126,127.106293610164
새솔어린이집,국공립,37.6165585100897,127.10975465651
신내어린이집,국공립,37.60466108,127.0979236
루나밸리어린이집,국공립,37.6002317661243,127.042646620388
동아라온어린이집,국공립,37.6077631803499,127.044972597784
큰나무어린이집,국공립,37.60506101,127.0517031
목화어린이집,국공립,37.60440056,127.0400022
달빛하나어린이집,국공립,37.60918785,127.0454576
구립 물고기어린이집,국공립,37.5334410708222,127.070576787938
구립 효지어린이집,국공립,37.536102,127.07382
구립 자양어린이집,국공립,37.532898,127.07523
구립 파크스위트어린이집,국공립,37.5452305351672,127.090560267192
구립 휴먼시아어린이집,국공립,37.5482735626,127.0935718071
구립 구의2동어린이집,국공립,37.5502126343619,127.096249362793
구립수유새싹어린이집,국공립,37.6335940931131,127.014274762879
구립수유1동어린이집,국공립,37.63144905,127.0156643
구립솔샘어린이집,국공립,37.6289162101668,127.018577611045
구립예능어린이집,국공립,37.62192004,127.0125706
구립동그라미어린이집,국공립,37.6210820003573,127.012635844987
구립초록나라어린이집,국공립,37.6240522,127.0130397
구립행복어린이집,국공립,37.62543431,127.0118478
구립아람어린이집,국공립,37.6216502615002,127.016945736751
구립삼양어린이집,국공립,37.62773747,127.019965
구립킨더어린이집,국공립,37.6126680387521,127.025888408022
구립송천동어린이집,국공립,37.61747704,127.0243757
구립무지개어린이집,국공립,37.6161360977868,127.01774583712
구립아이땅어린이집,국공립,37.6160098707011,127.018326290676
구립다온어린이집,국공립,37.6135848277504,127.020558432612
구립아이원어린이집,국공립,37.6163184613944,127.018312208218
구립하늘아이어린이집,국공립,37.6135848277504,127.020558432612
구립해맑은어린이집,국공립,37.61764,127.010605
구립이루미어린이집,국공립,37.6190093233307,127.016459488188
구립즐거운어린이집,국공립,37.61764,127.010605
구립새싹어린이집,국공립,37.61764,127.010605
구립삼각산꾸러기어린이집,국공립,37.6153692027099,127.017659349808
구립햇님어린이집,국공립,37.61764,127.010605
구립늘사랑어린이집,국공립,37.61764,127.010605
구립샛별어린이집,국공립,37.61673699,127.0174974
구립오렌지어린이집,국공립,37.64597714,127.0143599
구립참행복한어린이집,국공립,37.64618887,127.0126335
구립우이한솔어린이집,국공립,37.6451092893312,127.007727691265
