어린이집명,어린이집유형,시설 위도(좌표값),시설 경도(좌표값)
로카키즈어린이집,직장,37.5687036359973,126.971978970914
아이누리 어린이집,직장,37.5739313227989,126.970590296105
현대해상 온마음어린이집,직장,37.5711311336456,126.971007962481
LG광화문어린이집,직장,37.5692752221037,126.971579180998
KIM&CHANG 어린이집,직장,37.5722740746374,126.970989872268
교보생명다솜이어린이집,직장,37.5720677557606,126.969373013065
서울청사푸르미어린이집,직장,37.5752973102725,126.974832055924
서울청사한빛어린이집,직장,37.5749955424628,126.975140635476
종교교회어린이집,민간,37.57375117,126.973844
새문안어린이집,사회복지법인,37.5829230813859,126.980725156785
상명행복어린이집,직장,37.6014782705961,126.953723228594
구기어린이집,민간,37.6066804918628,126.958301005917
엄마품어린이집,가정,37.61035089,126.9744434
IBK 참!좋은 어린이집,직장,37.5350669793229,127.007056496912
유엔빌리지어린이집,가정,37.5333837972641,127.00929200103
아이제일어린이집,직장,37.53746496,126.9992936
하늘빛어린이집,민간,37.53142258,127.0014234
아이원어린이집,가정,37.55891341,127.025261
한빛 어린이집,가정,37.56091399,127.0281359
두리두리어린이집,가정,37.56257201,127.0281483
한양키움 어린이집,민간,37.5688284264638,127.044494079552
햇님어린이집,가정,37.56952326,127.0424491
세림 어린이집,가정,37.56499505,127.0451705
금빛 어린이집,가정,37.56682902,127.0387742
라온어린이집,가정,37.56952326,127.0424491
예지어린이집,민간,37.56691832,127.0352515
아이나무어린이집,가정,37.56499505,127.0451705
마주어린이집,가정,37.5575828371032,126.965604177823
엔젤어린이집,가정,37.5581639,126.9652466
가명어린이집,법인?단체등,37.5589741,126.9670146
공룡 어린이집,가정,37.5430005914988,127.014650684231
한울어린이집,가정,37.5426310116861,127.015552588822
다온어린이집,가정,37.5447282804961,127.014467141954
아이으뜸어린이집,가정,37.5420322212421,127.019476593642
꿈나무 어린이집,가정,37.54224776,127.0141915
경동어린이집,법인?단체등,37.56319426,127.0073109
CJ키즈빌 어린이집,직장,37.56396399,127.0032756
사랑나무어린이집,가정,37.5463535700926,126.978816521213
오케이최고어린이집,가정,37.5475629767,126.9803551745
노벨어린이집,가정,37.5513978116851,126.977294962797
영주어린이집,민간,37.54743044,126.9816898
두툼돌어린이집,민간,37.54794647,126.9771764
남산중앙어린이집,법인?단체등,37.54829648,126.9835883
영락어린이집,사회복지법인,37.54843004,126.9813118
DB손해보험 아이사랑 어린이집,직장,37.553461388771,126.973563405144
절제어린이집,사회복지법인,37.55092073,126.9741571
푸른숲속어린이집,가정,37.53487888,126.9508027
딩동댕어린이집,가정,37.5349978094381,126.949091822138
행복한어린이집,민간,37.5339696378575,126.95522925384
맘앤키즈어린이집,가정,37.53487888,126.9508027
선인방과후교실어린이집,법인?단체등,37.53389122,126.9521087
아가꿈어린이집,가정,37.53433337,126.95147
꿈꾸는어린이집,가정,37.54166978,126.9612742
대성어린이집,민간,37.54059605,126.958854
효창방과후어린이집,법인?단체등,37.54123427,126.9629821
효창어린이집,민간,37.53984324,126.9621821
상록어린이집,민간,37.54095702,126.9583035
숲속키즈어린이집,가정,37.53643829,126.9591188
도원삼성어린이집,가정,37.5383072,126.9552593
참나무방과후 어린이집,법인?단체등,37.53871489,126.9581627
새랑꿈이랑 어린이집,민간,37.5383072,126.9552593
새날어린이집,민간,37.5383072,126.9552593
서머힐어린이집,가정,37.5291083519578,126.993673571741
하랑어린이집,가정,37.530752957228,126.994756127183
용산구청직장어린이집,직장,37.53244208,126.9903466
이태원삼성어린이집,민간,37.53532514,126.9953858
사무엘 어린이집,법인?단체등,37.53458993,126.9902135
으뜸꼬마숲어린이집,가정,37.5490462652336,127.027453508533
엘림몬테소리어린이집,가정,37.5505238920891,127.027499316861
코알라 베이비 어린이집,가정,37.55192909,127.0271854
꼬마에디슨 어린이집,민간,37.55192909,127.0271854
해담솔 어린이집,가정,37.55192909,127.0271854
본향어린이집,법인?단체등,37.55757731,127.0229887
예인꼬마숲어린이집,가정,37.546968871885,127.024058479386
토토어린이집,가정,37.5468810020801,127.024071481562
푸르지오 어린이집,가정,37.5459458,127.0195147
서울숲미래연 어린이집,민간,37.54472037,127.0223384
하니삐아제 어린이집,민간,37.5459458,127.0195147
별초롱 어린이집,민간,37.53974058,127.0472851
개나리동산어린이집,법인?단체등,37.53811167,127.0483129
이마트어린이집,직장,37.5400204028534,127.052908955709
힐스테이트 어린이집,민간,37.54123386,127.0521307
딩동댕어린이집,민간,37.53610286,127.052973
즐거운어린이집,가정,37.53622527,127.0554313
건영아이자람어린이집,가정,37.55592699,127.0708094
행복가득어린이집,민간,37.55525641,127.0695253
송정어린이집,민간,37.54888600913,127.067490670296
서울교통공사 어린이집,직장,37.5617940964775,127.056433020795
꿈터 어린이집,민간,37.562335299657,127.055152188811
피노키오어린이집,민간,37.56443411,127.0538392
보나어린이집,가정,37.61399102,127.0076351
완두콩어린이집,가정,37.61864386,127.0073048
사랑어린이집,가정,37.6171123614712,127.009599357676
연꽃어린이집,법인?단체등,37.61244834,127.0134241
풍림 어린이집,가정,37.61864386,127.0073048
청아어린이집,민간,37.6178772101568,127.003781368815
파란나라어린이집,민간,37.61195526,127.0094188
바람아래발도르프어린이집,협동,37.6057234630929,127.021249850326
예삐어린이집,가정,37.6049104939189,127.020258696862
미예뜰 어린이집,민간,37.60505,127.022026
까꿍 어린이집,가정,37.6026964149301,127.02095030587
두산위브 어린이집,민간,37.60961064,127.0186773
꿈터어린이집,민간,37.606515545577,127.019283760635
꿈동이어린이집,가정,37.610272891607,127.017888845802
이삭 어린이집,가정,37.6066569095378,127.022355727775
시온 어린이집,가정,37.60588573,127.0202993
별초롱 어린이집,민간,37.607086,127.02328
엄마품어린이집,가정,37.6056342332099,127.022632882614
래미안어린이집,민간,37.60585,127.02099
햇살가득 어린이집,가정,37.61085066,127.017944
예능 어린이집,가정,37.61196439,127.0194675
e-편한세상 어린이집,가정,37.61196439,127.0194675
은빛 어린이집,가정,37.60585,127.02099
햇살내리는어린이집,가정,37.5947659327707,127.001983840027
베들레헴 어린이집,사회복지법인,37.59241721,127.0010743
행복가득한어린이집,가정,37.5903504293022,127.012477525936
성북구청직장어린이집,직장,37.58943373,127.0168305
다솜어린이집,가정,37.58350407,127.0133817
성신어린이집,민간,37.5969996545,127.0133392318
돈암교회어린이집,법인?단체등,37.59585688,127.0178728
늘봄어린이집,민간,37.5911184340909,127.06244488137
새하늘어린이집,민간,37.5876913961219,127.053662254665
SDA꿈사랑어린이집,가정,37.5910546563896,127.063769586763
다솔창의어린이집,민간,37.59335698,127.0648568
다솔어린이집,민간,37.59470651,127.064943
한국외국어대학교어린이집,직장,37.5990516765,127.0570817007
경희대학교직장어린이집,직장,37.59621368,127.0548411
사랑샘어린이집,가정,37.59351274,127.0603039
한일어린이집,민간,37.59888105,127.0666539
솜송이어린이집,가정,37.59423642,127.0606628
사랑해어린이집,가정,37.60253512,127.0697816
규현어린이집,가정,37.59999669,127.0684984
보령어린이집,가정,37.60448057,127.0650075
꿈쟁이어린이집,가정,37.59999669,127.0684984
어린왕자어린이집,민간,37.6024544075999,127.063004723659
성은어린이집,민간,37.5991872,127.0678822
중앙삐아제어린이집,민간,37.60401065,127.0667677
아름다운어린이집,가정,37.5680680565761,127.054787974003
꼬마숲아띠어린이집,가정,37.5728565778172,127.052402402398
하랑어린이집,가정,37.5728565778172,127.052402402398
예은어린이집,가정,37.5728565778172,127.052402402398
솔샘숲어린이집,민간,37.5728565778172,127.052402402398
래미안위브어린이집,민간,37.5728565778172,127.052402402398
휴사랑어린이집,가정,37.57239233,127.0459184
늘푸른어린이집,민간,37.5724664460036,127.045913556811
꼬마친구어린이집,가정,37.6051018239227,127.090217140663
은솔어린이집,가정,37.6007399003291,127.091756569348
아이조아어린이집,민간,37.60276813,127.0924175
꼬마숲어린이집,가정,37.6009374889381,127.092552865097
포그니어린이집,가정,37.60219938,127.0942693
피노키오어린이집,민간,37.6036078888,127.0904022299
푸른솔몬테소리어린이집,민간,37.60146063,127.0814585
한신키즈어린이집,가정,37.59709077,127.0818281
드림아이어린이집,가정,37.59709077,127.0818281
에코비자연어린이집,민간,37.59894493,127.0830805
나무어린이집,가정,37.5993875033499,127.080658496181
무지개어린이집,가정,37.60497579,127.082644
에코맘어린이집,가정,37.59709077,127.0818281
경동제일어린이집,민간,37.60265898,127.0848175
예일어린이집,민간,37.59863624,127.0804627
영재스쿨어린이집,가정,37.59709077,127.0818281
중랑경찰서어린이집,직장,37.6181093039717,127.10458057846
너나들이어린이집,협동,37.6181039052685,127.110504498288
꿈보어린이집,가정,37.6084757665446,127.096310899998
아이러브유어린이집,가정,37.6052206136215,127.099508128548
해피아이어린이집,가정,37.6033123288082,127.097317734732
푸르미어린이집,가정,37.6060426239043,127.099128690088
해뜨는어린이집,가정,37.6032933213299,127.098527165288
서울의료원어린이집,직장,37.61305797,127.0984112
아이세상어린이집,가정,37.61094027,127.0993213
신내데시앙어린이집,민간,37.61320371,127.0994435
유린원광종합사회복지관방과후교실어린이집,법인?단체등,37.6041846,127.0960618
성애어린이집,민간,37.60234707,127.0976695
쥬베베어린이집,민간,37.6059499522864,127.097275928994
미래클어린이집,가정,37.6089394432135,127.09781098509
모모어린이집,민간,37.60038836,127.0960409
우리어린이집,가정,37.6154634029576,127.111151859789
참새어린이집,가정,37.60678041,127.0965219
초원어린이집,민간,37.60361858,127.099695
올망졸망어린이집,가정,37.6083386,127.0960908
사랑나무어린이집,가정,37.60526023,127.1013446
행복나무어린이집,가정,37.59905344,127.0421739
삼성새싹어린이집,가정,37.59905344,127.0421739
월곡무지개어린이집,법인?단체등,37.60290772,127.0400236
동아 어린이집,가정,37.6075318709002,127.046089408522
아트어린이집,민간,37.60610934,127.0430495
새싹어린이집,사회복지법인,37.60302577,127.0389191
아이비키즈어린이집,민간,37.5351188697589,127.070796016015
아이누리어린이집,가정,37.535292570837,127.06957424349
아기천사어린이집,가정,37.5330303303644,127.073862401544
해피i어린이집,가정,37.5370810495153,127.074101655276
이삭어린이집,민간,37.5310514594656,127.071956215318
보배어린이집,민간,37.5370810495153,127.074101655276
대서울어린이집,가정,37.53425,127.06849
사랑어린이집,가정,37.5321,127.0704
자양미래몬테소리어린이집,가정,37.531796,127.074745
으뜸어린이집,민간,37.5308,127.071175
한라어린이집,민간,37.5352925708371,127.069574243491
KB구의 어린이집,직장,37.5451153390025,127.088002763773
아이다솜어린이집,가정,37.547870166464,127.086641296652
큰빛어린이집,가정,37.5543015476091,127.093696880696
예랑어린이집,민간,37.5533259099161,127.092360282537
즐거운산들어린이집,협동,37.5527353548039,127.096315929823
구의사랑어린이집,가정,37.551450841244,127.093661683394
예일어린이집,민간,37.552205505804,127.091802138586
구의미소어린이집,민간,37.5522137026,127.0923318802
아이짐어린이집,민간,37.5453070004416,127.087670374918
신예지어린이집,민간,37.5519463246417,127.09140347771
해오름어린이집,민간,37.5537388124376,127.094357099414
영화사어린이집,민간,37.5540532684151,127.097720910761
나나어린이집,민간,37.63183934,127.0197944
꿈나무어린이집,민간,37.6336045204,127.0171614395
솔로몬영재어린이집,민간,37.62893078,127.0156772
신기어린이집,민간,37.63098623,127.0169982
행복한어린이집,가정,37.62207748,127.0197822
예나어린이집,가정,37.6258095867583,127.018898613642
아랑어린이집,가정,37.6210820003573,127.012635844987
별나라어린이집,가정,37.6210820003573,127.012635844987
강북솔로몬어린이집,민간,37.62564003,127.0209611
예주어린이집,가정,37.6258095867583,127.018898613642
구세군강북 어린이집,법인?단체등,37.62568321,127.0133807
무지개유아스쿨어린이집,민간,37.6134354949,127.0246546935
늘기쁜어린이집,가정,37.6136056542979,127.024984658877
동심어린이집,민간,37.61895533,127.0267397
강북몬테소리어린이집,민간,37.6217393,127.025949
삼양제일어린이집,민간,37.6184575123054,127.01941340398
트리베라어린이집,민간,37.6161246173,127.021742399
키즈래미안어린이집,민간,37.6156958563,127.0211397064
SK어린이집,가정,37.6192002722692,127.011072135126
비테에어린이집,민간,37.6181912010145,127.010689704662
새서울어린이집,민간,37.61736124,127.015747
아이꿈터어린이집,민간,37.65350628,127.01072
솔밭어린이집,민간,37.65410194,127.0120199
제일어린이집,민간,37.65930183,127.0107383
꿈꾸는 어린이집,협동,37.66189892,127.0092758
숲속어린이집,가정,37.6271876,127.0482228
사랑샘어린이집,가정,37.629161633,127.0516035999
해뜨는어린이집,가정,37.63287637,127.0442789
별초롱어린이집,가정,37.62655867,127.0496752
새싹i어린이집,가정,37.63184083,127.05848
조은어린이집,가정,37.6306785730357,127.043452492308
빛나래어린이집,가정,37.63173775,127.0501157
정릉햇살가득 어린이집,민간,37.59980696,127.0193836
