시군구명,어린이집명,시설 위도(좌표값),시설 경도(좌표값)
종로구,로카키즈어린이집,37.5687036359973,126.971978970914
종로구,아이누리 어린이집,37.5739313227989,126.970590296105
종로구,현대해상 온마음어린이집,37.5711311336456,126.971007962481
종로구,LG광화문어린이집,37.5692752221037,126.971579180998
종로구,KIM&CHANG 어린이집,37.5722740746374,126.970989872268
종로구,교보생명다솜이어린이집,37.5720677557606,126.969373013065
종로구,서울청사푸르미어린이집,37.5752973102725,126.974832055924
종로구,서울청사한빛어린이집,37.5749955424628,126.975140635476
종로구,종교교회어린이집,37.57375117,126.973844
종로구,사직어린이집,37.57809877,126.9686864
종로구,삼청어린이집,37.58400574,126.9804875
종로구,새문안어린이집,37.5829230813859,126.980725156785
종로구,상명행복어린이집,37.6014782705961,126.953723228594
종로구,엔젤키즈어린이집,37.59853986,126.9605022
종로구,부암어린이집,37.60152236,126.9630733
종로구,종로생명숲어린이집,37.6064673304568,126.968176577917
종로구,구기어린이집,37.6066804918628,126.958301005917
종로구,엄마품어린이집,37.61035089,126.9744434
용산구,맑은숲어린이집,37.5450381635,127.0032951499
용산구,IBK 참!좋은 어린이집,37.5350669793229,127.007056496912
용산구,유엔빌리지어린이집,37.5333837972641,127.00929200103
용산구,아이제일어린이집,37.53746496,126.9992936
용산구,한남어린이집,37.53453304,127.0004722
용산구,하늘빛어린이집,37.53142258,127.0014234
성동구,구립 왕십리하나어린이집,37.5608549372603,127.03203886341
성동구,구립 스위첸숲속어린이집,37.5606043973,127.0268737341
성동구,구립 왕십리자이어린이집,37.5606697161455,127.024831967744
성동구,구립 금호키움어린이집,37.5612316976099,127.025950393455
성동구,구립 풍림아름다운어린이집,37.55891341,127.025261
성동구,아이원어린이집,37.55891341,127.025261
성동구,한빛 어린이집,37.56091399,127.0281359
성동구,두리두리어린이집,37.56257201,127.0281483
성동구,구립 무학어린이집,37.56132356,127.025791
성동구,구립 별하어린이집,37.5682112942042,127.042854743032
성동구,구립 마장현대어린이집,37.5702622686283,127.041995630327
성동구,한양키움 어린이집,37.5688284264638,127.044494079552
성동구,햇님어린이집,37.56952326,127.0424491
성동구,세림 어린이집,37.56499505,127.0451705
성동구,금빛 어린이집,37.56682902,127.0387742
성동구,라온어린이집,37.56952326,127.0424491
성동구,성동종합사회복지관 부설 방과후 어린이집,37.57046833,127.0338088
성동구,예지어린이집,37.56691832,127.0352515
성동구,아이나무어린이집,37.56499505,127.0451705
성동구,구립 성모어린이집,37.57046833,127.0338088
성동구,구립 마장어린이집,37.56642292,127.0454704
성동구,구립 서마어린이집,37.57169914,127.0368947
중구,늘푸른어린이집,37.5528170627,126.9630705681
중구,마주어린이집,37.5575828371032,126.965604177823
중구,엔젤어린이집,37.5581639,126.9652466
중구,가명어린이집,37.5589741,126.9670146
중구,중림어린이집,37.55562297,126.9677162
중구,만리어린이집,37.5530803784,126.9637947247
성동구,구립 맑은샘어린이집,37.5465907739,127.0133800346
성동구,공룡 어린이집,37.5430005914988,127.014650684231
성동구,구립 옥수파크어린이집,37.5485350516836,127.014049174906
성동구,구립 옥수힐스어린이집,37.5472936889,127.0121218096
성동구,구립 매봉도담어린이집,37.5492109193114,127.013013851816
성동구,구립 극동그린어린이집,37.5416176076759,127.009812580579
성동구,구립 독서당어린이집,37.5465005447959,127.014475405636
성동구,한울어린이집,37.5426310116861,127.015552588822
성동구,다온어린이집,37.5447282804961,127.014467141954
성동구,구립 래미안리버젠어린이집,37.5451920224386,127.016543678168
성동구,아이으뜸어린이집,37.5420322212421,127.019476593642
성동구,꿈나무 어린이집,37.54224776,127.0141915
성동구,옥수종합사회복지관 부설 좋은벗방과후교실어린이집,37.54043785,127.012716
성동구,구립 연꽃어린이집,37.54043785,127.012716
성동구,구립 금옥어린이집,37.54955905,127.0127112
중구,경동어린이집,37.56319426,127.0073109
중구,충무어린이집,37.56024397,127.0017202
중구,CJ키즈빌 어린이집,37.56396399,127.0032756
중구,중구청직장어린이집,37.5638483739249,127.001200163208
성동구,구립 서울숲더샵어린이집,37.5570759698665,127.04002802388
성동구,구립 사근다솜어린이집,37.56105772,127.0455332
용산구,사랑나무어린이집,37.5463535700926,126.978816521213
용산구,오케이최고어린이집,37.5475629767,126.9803551745
용산구,노벨어린이집,37.5513978116851,126.977294962797
용산구,미래어린이집,37.5490366523856,126.978308788708
용산구,영주어린이집,37.54743044,126.9816898
용산구,두툼돌어린이집,37.54794647,126.9771764
용산구,남산중앙어린이집,37.54829648,126.9835883
용산구,후암어린이집,37.54765193,126.9758361
용산구,영락어린이집,37.54843004,126.9813118
용산구,소월어린이집,37.54613603,126.9858175
용산구,해방어린이집,37.54428402,126.9851444
용산구,DB손해보험 아이사랑 어린이집,37.553461388771,126.973563405144
용산구,새꿈어린이집,37.55238518,126.9733573
